hour,value,cusum_alert,ph_alert,slope,combined_alert
1,450.7,False,False,0.000,False
2,449.8,False,False,-0.006,False
3,451.0,False,False,-0.003,False
4,452.3,False,False,0.009,False
5,449.6,False,False,-0.001,False
6,449.6,False,False,-0.008,False
7,452.4,False,False,0.005,False
8,465.0,False,False,0.104,False
9,465.8,False,False,0.191,False
10,465.5,True,True,0.259,True
11,467.5,True,True,0.328,True
12,467.5,True,True,0.384,True
13,468.5,True,True,0.437,True
14,470.2,True,True,0.492,True
15,469.1,True,True,0.529,True
16,470.3,True,True,0.567,True
17,472.4,True,True,0.613,True
18,473.0,True,True,0.654,True
19,475.3,True,True,0.704,True
20,475.1,True,True,0.743,True
21,475.6,True,True,0.779,True
22,479.5,True,True,0.835,True
23,478.8,True,True,0.875,True
24,480.1,True,True,0.917,True
